CAFE INTERNTET CYBER CAFE LA ESPERANZA;CARRERA 29C No 75 - 22;BARRIOS UNIDOS;ONCE DE NOVIEMBRE;Zona Neutra;KR 29 C 75 22;4.669425497774217;-74.07081955917627
TELE SERVICIOS UNIVERSAL;CALLE 80 No 27 - 35 CASA ESQUINA CON LOCAL  1;BARRIOS UNIDOS;JUAN XXIII;Zona Neutra;CL 80 27 35;4.67032879220376;-74.0647353502664
SOFI COM PAPELERIA;CARRERA 23 No 72 - 24;BARRIOS UNIDOS;SAN FELIPE;Zona Neutra;KR 23 72 24;4.66269935246204;-74.066319763239
PAPELERIA GRAFICAS ILUVAR PUBLICIDAD;CARRERA 24 NO 74 - 36;BARRIOS UNIDOS;SAN FELIPE;Zona Neutra;KR 24 74 36;4.66496008077777;-74.0657418836628
DROGUERIA TOTAL FARMA COLOMBIA;CARRERA 23 No 70A 22;BARRIOS UNIDOS;COLOMBIA;Zona Neutra;KR 23 70 A 22;4.660367883131717;-74.06759680700048
FERRETERIA DISFERSH;CALLE 68 No 22 - 14;BARRIOS UNIDOS;COLOMBIA;Zona Neutra;CL 68 22 14;4.65828770695363;-74.068479301664
CAFE INTERNET MULTICOPIAS 68;CALLE 68 No 21 - 02;BARRIOS UNIDOS;COLOMBIA;Zona Neutra;CL 68 21 02;4.65788842232924;-74.0679187689422
DROGUERIA ASOFARMA;CALLE 76 No 20 - 18;BARRIOS UNIDOS;JUAN XXIII;Zona Neutra;CL 76 20 18;4.6643621288497314;-74.0612963988262
MISCELANEA Y PAPELERIA 7909;CARRERA 55 BIS No 79 - 09;BARRIOS UNIDOS;JORGE ELIECER GAITAN;Calle 80;KR 55 BIS 79 09;4.67513629895755;-74.0728739731565
PAPELERIA NICO COM;CALLE 79 No 52 - 06;BARRIOS UNIDOS;JORGE ELIECER GAITAN;Calle 80;CL 79 52 06;4.673924777637097;-74.07087654235254
CAFE INTERNET KACAVAJO COM;CARRERA 56 No 79B - 08;BARRIOS UNIDOS;JORGE ELIECER GAITAN;Calle 80;KR 56 79 B 08;4.676919446908131;-74.0733650267386
CIGARRERIA LA VENTANITA;CARRERA 55A No 76 - 51;BARRIOS UNIDOS;JORGE ELIECER GAITAN;Calle 80;KR 55 A 76 51;4.674208622644058;-74.07435593992425
VARIEDADES REHOBOT COPIAS;CALLE 74 No 22 - 64;BARRIOS UNIDOS;SAN FELIPE;Zona Neutra;CL 74 22 64;4.66413829207496;-74.0649420651134
CAFE INTERNET VIDEO INTERNET FACTORY;CARRERA 57 No 68 - 02;BARRIOS UNIDOS;SAN FERNANDO;Engativa;KR 57 68 02;4.668528148135809;-74.0794666887279
MINIMARKET TUS;DIRECCION NUEVA CALLE 63 A No 23 - 40   DIRECCION ANTIGUA CARRERA 23 No 63A - 01;BARRIOS UNIDOS;MUEQUETA;Zona Neutra;CL 63 A 23 40;4.65213043371694;-74.0719528380418
CAFE INTERNET VIVERES LUIS;CARRERA 57 No 72 - 09;BARRIOS UNIDOS;SAN FERNANDO;Calle 80;KR 57 72 09;4.671297110628226;-74.07766690921282
CAFE INTERNET RIVERNAUTAS ZONA 4 VIDIO YD;CARRERA 54 No 64A - 55;BARRIOS UNIDOS;POPULAR MODELO;Engativa;KR 54 64 A 55;4.66203177100645;-74.0819767118536
DROGUERIA LOS ALMENDROS;CALLE 65 No 56B - 09;BARRIOS UNIDOS;POPULAR MODELO;Engativa;CL 65 56 B 09;4.66433165783729;-74.0828474716797
DEPRISA CALLE 100;CALLE 100 NO. 62 - 09 LOCAL 104;BARRIOS UNIDOS;LOS ANDES;Suba Centro;CL 100 62 09;4.68928374575463;-74.0673405033791
