CENTRO COMERCIAL UNICENTRO AVENIDA 15 NO 124 - 30 LOCAL 401 ;AV 15 124 30
CENTRO COMERCIAL PORTAL DE LA 80 TRANSVERSAL 100 A NO 80 A - 20 LOCAL N3-034 ;TR 100 A 80 A 20
CENTRO COMERCIAL UNICENTRO DE OCCIDENTE CARRERA 111 C NO 86 - 05 LOCAL 2-26 ;KR 111 C 86 05
CARRERA 12 NO 83 - 11;KR 12 83 11
CENTRO COMERCIAL TITAN PLAZA CARRERA 72 NO 80 - 94  LOCAL 403A;KR 72 80 94
CALLE 70 NO 4 - 96;CL 70 4 96
AVENIDA CALLE 26 CARRERA 120 PRIMER PISO DIAGONAL PORTERIA 6;AC 26 120 6
CALLE 119 NO 9 - 04;CL 119 9 04
CENTRO COMERCIAL PLATINO CARRERA 7 NO 138 - 33 LOCAL 309 ;KR 7 138 33
CENTRO COMERCIAL PLAZA DE LAS AMERICAS CARRERA 71 D NO 6 - 94 SUR LOCAL 29 - 03 ;KR 71 D 6 94 SUR
CARRERA 13 NO 83 - 24;KR 13 83 24
CALLE 116 NO 17 A - 60;CL 116 17 A 60
AEROPUERTO EL DORADO T 1 HALL PUBLICO P 3 FIB 3 LOCAL T 1 008;
CENTRO COMERCIAL SALITRE PLAZA CARRERA 68 B NO 24 - 39 LOCAL 363;KR 68 B 24 39
CENTRO COMERCIAL CALIMA CALLE 18 NO 28 - 80 ;CL 18 28 80
CALLE 93 A NO 12 - 73;CL 93 A 12 73
CALLE 71 NO 9 - 06;CL 71 9 06
CENTRO COMERCIAL GRAN ESTACION AVENIDA CALLE 26 NO 62 - 47 LOCAL 319;AC 26 62 47
CENTRO COMERCIAL UNICENTRO AVENIDA 15 NO 124 - 30  LOCAL 242;AV 15 124 30
CENTRO COMERCIAL CENTRO MAYOR CALLE 38 A SUR NO 34 D - 51  LOCAL 2172 - 2172;CL 38 A SUR 34 D 51
AVENIDA  13 NO 71 - 60;AV 13 71 60
CENTRO COMERCIAL ANDINO CARRERA 11 NO 82 - 71  LOCAL 415 PISO 4;KR 11 82 71
CALLE 85 NO 13 - 77;CL 85 13 77
CARRERA 13 NO 94 A - 26 LOCAL 3;KR 13 94 A 26
CALLE 93 A NO 13 A - 31 LOCAL 01;CL 93 A 13 A 31
CARRERA 11 NO 70 - 66;KR 11 70 66
CALLE 116 NO 7 -  15 LOCAL 3 EDIFICIO CUSEZAR;CL 116 7 15
CARRERA 7 NO 11 - 96 /98;KR 7 11 96
AVENIDA JIMENEZ NO 7  - 45;AV JIMENEZ 7 45
CARRERA 11 A NO 93 - 93 LOCAL 101;KR 11 A 93 93
CENTRO COMERCIAL GRAN ESTACION AVENIDA EL DORADO NO 62 - 49 LOCAL 361;AV EL DORADO 62 49
CENTRO COMERCIAL SANTAFE CALLE 185 NO 45 - 03 LOCAL 397;CL 185 45 03
CARRERA 8 A NO 98 - 38;KR 8 A 98 38
