61;14665;Cotidiano Cafe Brasserie;Centro Comercial Andino Plaza Carrera 11 No 82 - 71 Local 402;654 54 54 - ;Chapinero;www.elcotidiano.com.co;KR 11 82 71;4.66628727998579;-74.0527013691487
62;14666;Salto del Angel;Carrera 13 No 93 A - 45;654 54 55 - ;Chapinero;www.saltodelangel.com.co;KR 13 93 A 45;4.677348062334457;-74.04922145136467
63;14667;Oliveto Pizza Gourmet;Carrera 5 No 70 - 26;212 65 70 - 212 08 07;Chapinero;www.olivetopizza.com / www.olivetopizzagourmet.com;KR 5 70 26;4.652063411250476;-74.05476557910185
64;14668;Oliveto Pizza Gourmet;Carrera 6A No 118  -  57;213 41 24 - 213 03 02;Usaquen;www.olivetopizza.com / www.olivetopizzagourmet.com;KR 6 A 118 57;4.695463448067765;-74.0312966972336
65;14669;El Olivar Restaurante;Carrera 6 No 10 - 40;283 29 64 - ;Candelaria;NR;KR 6 10 40;4.59709635241529;-74.0747561059421
69;14777;Hard Rock Cafe;Centro Comercial Atlantis Calle 81 No 13 - 05  Local 011;530 73 28 - 530 73 29;Chapinero;www.hardrock.com;CL 81 13 05;4.666068450990536;-74.05577266070479
70;14806;MC Donalds Parque 93;Carrera 12 No 93  - 86;618 24 28 - 311 561 08 60;Chapinero;www.mcdonalds.com.co;KR 12 93 86;4.676108676684855;-74.0484387517325
71;14807;MC Donalds Andino;Carrera 11 No 82 - 02 Local 355;616 89 90 - 311 491 31 72;Chapinero;www.mcdonalds.com.co;KR 11 82 02;4.66559173027952;-74.0529189329731
72;14809;MC Donalds Plaza de Las Americas;Centro Comercial Plaza de Las Americas Carrera 71 D No 6 - 94 Sur Local 1500;260 82 20 - 311 561 08 62;Kennedy;www.mcdonalds.com.co;KR 71 D 6 94 SUR;4.618832129117629;-74.13531740938949
73;14810;MC Donalds Pepe Sierra;Calle 116 No 18B  - 43;213 78 72 - 311 561 08 61;Usaquen;www.mcdonalds.com.co;CL 116 18 B 43;4.69831524475385;-74.0490414650202
74;14811;MC Donalds Avenida Jimenez;Avenida Jimenez No 7 - 25;243 94 91 - 311 491 31 75;Candelaria;www.mcdonalds.com.co;AV JIMENEZ 7 25;4.60140428965104;-74.0736522752908
75;14812;MC Donalds Atlantis;Centro Comercial Atlantis Calle 81 No 13 - 05 Local 311;531 19 14 - 311 491 31 73;Chapinero;www.mcdonalds.com.co;CL 81 13 05;4.666068450990536;-74.05577266070479
76;14813;MC Donalds Salitre;Centro Comercial Salitre Plaza Carrera 68 B No 24  - 39 Local 3-102/3-104;416 96 81 - 311 561 08 63;Fontibon;www.mcdonalds.com.co;KR 68 B 24 39;4.653382271318041;-74.10992482267676
77;14814;MC Donalds Ciudad Salitre;Carrera 68B No 24 - 30;405 98 99 - 311 491 31 76;Fontibon;www.mcdonalds.com.co;KR 68 B 24 30;4.652064323278294;-74.10893205673587
78;14892;Taqueria Calle 93;Calle 93 A No 11 - 49 Local 2;616 76 71 - 616 75 68;Chapinero;NR;CL 93 A 11 49;4.67576136511546;-74.0474303408506
79;14893;Taqueria Calle 116;Calle 116 No 15 - 44 LC 2;616 76 71 - 616 75 68;Chapinero;NR;CL 116 15 44;4.69665182399327;-74.043463866989
80;14914;Paneroli 1;Centro Comercial Andino Carrera 11 No  82 - 71 Local 414 ;236 23 58 - ;Chapinero;paneroli.com;KR 11 82 71;4.66628727998579;-74.0527013691487
81;15013;Oma Cafe Restaurante Bogota El Lago;Carrera 15 No 82 - 58;NR;Chapinero;http://173.254.122.220/;KR 15 82 58;4.66799265769654;-74.0561515291367
82;15014;Oma Cafe Restaurante Bogota Bavaria;Carrera 10 No 27 - 91 Interior 117 Torre B;NR;Santafe;http://173.254.122.220/;KR 10 27 91;4.61482057719578;-74.0695394253195
83;15015;Oma Cafe Restaurante Bogota Parque 93;Calle 93 A No 12 - 55;NR;Chapinero;http://173.254.122.220/;CL 93 A 12 55;4.67654369147338;-74.0489287273511
84;15016;Oma Cafe Restaurante Bogota Andino;Centro Comercial Andino Plaza Carrera 11 No 82 - 71 Local 347;NR;Chapinero;http://173.254.122.220/;KR 11 82 71;4.66628727998579;-74.0527013691487
85;15027;Oma Cafe Restaurante Bogota Zona T;Carrera 12 A No 83 - 49;NR;Chapinero;http://173.254.122.220/;KR 12 A 83 49;4.667951088331857;-74.05389875269127
86;15028;Oma Cafe Restaurante Bogota Gran Estacion;Centro Comercial Gran Estacion Avenida EL Dorado No 62 - 49 Local 157-158;NR;Teusaquillo;http://173.254.122.220/;AV EL DORADO 62 49;4.647832368830404;-74.10194027423034
87;15081;Donostia Cocina de Mercado;Calle 29 BIS No 5 - 84;287 39 43 - ;Santafe;NR;CL 29 BIS 5 84;4.61588330896012;-74.06732194318921
88;15204;Restaurante Felix;Avenida Jimenez No 4 - 80;341 72 11 - 284 09 95;Candelaria;NR;AV JIMENEZ 4 80;4.60080550599669;-74.0707297264009
89;15433;Tienda de Cafe;Calle 119 No 6 - 16;213 39 16 - 213 31 18;Usaquen;www.tiendadeCafe.net;CL 119 6 16;4.695553789180464;-74.03058979483714
90;15682;Tramonti;Carrera 1 No 70 - 50;218 24 00 - 636 19 95;Chapinero;www.tramonti.com.co;KR 1 70 50;4.65068291093331;-74.0521327122641
91;15758;Cotidiano Cafe Brasserie;Carrera 5 No 71 - 45 Local 104;654 54 54 - ;Chapinero;www.elcotidiano.com.co;KR 5 71 45;4.6537025014992635;-74.05417327739868
92;15881;Hamburguesas el Corral Parque Central Bavaria;Carrera 13 No 28 - 01 Local 173;NR;Santafe;www.elcorral.com;KR 13 28 01;4.61568052593084;-74.0699766368573
