IDENTIFICADOR;NOMBRE;DIRECCION;CATEGORIA;TELEFONO;BARRIO_OFICIAL;POLIGONO_BARRIAL;CODIGO LOCALIDAD;LOCALIDAD;UPZ;CODIGO UPZ
205002;Subd Local Chapinero;CL 50 A 13 58;Subdirección Local para la Integración Social;2494833 - 2496246 - 2494794 - 2493212;Marly;S.C. Marly;2;Chapinero;Chapinero;99
505005;Subd Local Usme-Sumapaz;AC 91 SUR 3 C 34 ESTE;Subdirección Local para la Integración Social;2006448 - 7640385 - 7685863 -7685865;Charala;Chuniza;5;Usme;Comuneros;58
705007;Subd Local Bosa;CL 73 SUR 81 B 10;Subdirección Local para la Integración Social;7753064 - 7802711;Gran Colombiano;Grancolombiano II Sector;7;Bosa;Bosa Central;85
305003;Subd Local Santafe - Candelaria;KR 2 3 10;Subdirección Local para la Integración Social;2465631 - 2897449 - 2892448 - 2465631 - 2330716;Lourdes;Lourdes 2;3;Santa Fe;Las Cruces;95
605006;Subd Local Tunjuelito;DG 47 A SUR 53 92;Subdirección Local para la Integración Social;2702827 - 7410171 - 7410174 - 2308943;Venecia;Venecia;6;Tunjuelito;Venecia;42
905008;Subd Local Fontibon;KR 104 B 22 J 15;Subdirección Local para la Integración Social;4185564 - 2672417 - 4159214 - 2672806 - 4184119 - 2672424 - 4181948 - 4210976;La Cabana Fontibon;La Giralda;9;Fontibón;Fontibón;75
1105010;Subd Local Suba;KR 91 146 C 15;Subdirección Local para la Integración Social;6815452 - 6635482 - 6835951 - 6921232 - 6857436 - 6835171;Suba Urbano;S.C. Suba Urbano;11;Suba;Suba;27
1205011;Subd Local Barrios Unidos - Teusaquillo;KR 58 67 D 31;Subdirección Local para la Integración Social;2509877 - 2509966 - 3113299 - 2400945;Popular Modelo;Popular Modelo;12;Barrios Unidos;Doce de Octubre;22
1405013;Subd Local Los Martires;Diagonal 22 B BIS # 20 - 51;Subdirección Local para la Integración Social;2448978 - 2681821 - 2697350 - 3685688 - 2684400;Santa Fe;Santa Fe;14;Los Mártires;La Sabana;102
1605014;Subd Local Puente Aranda - Antonio Nariño;KR 33 4 A 23;Subdirección Local para la Integración Social;2373467 - 2373638 - 2770669 - 2770676 - 2770671;Comuneros;Veraguas Central;16;Puente Aranda;Ciudad Montes;40
1805015;Subd Local Rafael Uribe Uribe;KR 15 C 31 G 40 SUR;Subdirección Local para la Integración Social;3663805 - 3665335 - 2090454;Gustavo Restrepo;Gustavo Restrepo;18;Rafael Uribe;San José;36
805016;Subd Local Kennedy;CL 38 SUR 94 C 29;Subdirección Local para la Integración Social;4542712;Galan;Bellavista_;8;Kennedy;Patio Bonito;82
