ESTABLECIMIENTO;DIRECCION;LOCALIDAD;BARRIO;ZONA_SITP;FECHA CORTE
MINIMERCADO DE LA 86;CARRERA 118 No 83A 03;ENGATIVA;EL CORTIJO;Calle 80;01/09/2014
CAFE INTERNET MALU COM;CARRERA 116B No 80 - 51 INTERIOR 1 LOCAL 1;ENGATIVA;EL CORTIJO;Calle 80;01/09/2014
PAPELERIA Y HELADERIA SANTA ANA;CARRERA 116B No 80 - 51;ENGATIVA;EL CORTIJO;Calle 80;01/09/2014
CELULAR STORE INC;CARRERA 111 C No 70C - 06;ENGATIVA;BOLIVIA;Engativa;01/09/2014
MISCELANEA CARITA FELIZ;CARRERA 111C No 69D - 30 CASA  9 ETAPA 2;ENGATIVA;BOLIVIA;Engativa;01/09/2014
CAFE INTERNET DIHEGO COMUNICACIONES;CALLE 53 No 77C - 25 ESQUINA;ENGATIVA;SANTA CECILIA;Engativa;01/09/2014
DROGAS EXPRESS VILLA LUZ;CARRERA 77 A  NRO 57 - 41;ENGATIVA;SANTA CECILIA;Engativa;01/09/2014
CABINAS TELEFONICAS BABUCHA.PHONE.COM.CO;AVENIDA CALLE 53 No 85B - 17;ENGATIVA;SAN IGNACIO;Engativa;01/09/2014
CAFE INTERNET JOTA NET;CARRERA 85H No 52C - 23;ENGATIVA;SAN IGNACIO;Engativa;01/09/2014
CAFE INTERNET SOLUCIONES D Y J;CALLE 52A No 85A - 50;ENGATIVA;SAN IGNACIO;Engativa;01/09/2014
CAFE INTERNET YENNIFER.NET;CALLE 51 No 76B - 10;ENGATIVA;SAN IGNACIO;Engativa;01/09/2014
CAFE INTERNET LV.@COMUNICACIONES;CALLE 53 No 85B - 11;ENGATIVA;SAN IGNACIO;Engativa;01/09/2014
CAFE INTERNET AF TELECOMUNICACIONES;TRANSVERSAL 77 No 47 - 35;ENGATIVA;SAN IGNACIO;Engativa;01/09/2014
CAFE INTERNET CIBERCENTER COM;CALLE 56 No 85H - 17;ENGATIVA;SAN IGNACIO;Engativa;01/09/2014
SUMINISTROS GLOBAL SISTEMS SAS;CALLE 52A NO 85K - 54;ENGATIVA;SAN IGNACIO;Engativa;01/09/2014
FOTO ALMACEN ENGATIVA;CARRERA 121 No 64A - 16;ENGATIVA;ENGATIVA ZONA URBANA;Engativa;01/09/2014
CAFE INTERNET WEB MASTER YARLA;TRANSVERSAL 113F No 64C - 17;ENGATIVA;ENGATIVA ZONA URBANA;Engativa;01/09/2014
DROGUERIA LA GRAN UNION;CARRERA 116C No 64B - 10;ENGATIVA;ENGATIVA ZONA URBANA;Engativa;01/09/2014
CAFE INTERNET ALFIN COM;CARRERA 123 No 65A - 78;ENGATIVA;ENGATIVA ZONA URBANA;Engativa;01/09/2014
DROGUERIA FARMASERVICIOS NS;CARRERA 116C No 64D - 26;ENGATIVA;ENGATIVA ZONA URBANA;Engativa;01/09/2014
DULCERIA Y LICORERIA SAN MARTIN;TRANSVERSAL 113F No 65B - 21;ENGATIVA;ENGATIVA ZONA URBANA;Engativa;01/09/2014
SIN BOGOTA ENGATIVA;CALLE 64 No 118 B - 58 LOCAL 106;ENGATIVA;ENGATIVA ZONA URBANA;Engativa;01/09/2014
PAPELERIA Y MISCELANEA COQUITOS;CALLE 64 No 121 - 19 LOCAL 6;ENGATIVA;ENGATIVA ZONA URBANA;Engativa;01/09/2014
PAPELERIA KEVIN;CALLE 64 No 123 46;ENGATIVA;ENGATIVA ZONA URBANA;Engativa;01/09/2014
PAPELERIA ESTACION DE DISENO;CALLE 64  NRO 121 - 55  LOCAL 3;ENGATIVA;ENGATIVA ZONA URBANA;Engativa;01/09/2014
PAPELERIA HOWER.COM;CARRERA 110 No 70F - 11;ENGATIVA;BOLIVIA;Engativa;01/09/2014
